eng1,lit1,mth1,soc1,eng2,lit2,mth2,soc2
47,78,63,66,13,66,47,62
90,81,88,82,91,84,85,85
33,68,73,79,29,68,62,65
68,67,82,74,95,73,85,81
87,77,65,96,98,84,63,84
86,89,52,84,82,89,62,89
55,66,64,72,41,59,42,78
94,71,24,68,70,59,0,61
70,74,35,75,44,56,7,75
58,60,50,70,37,56,22,49
100,73,97,80,100,69,94,84
71,84,72,66,76,71,62,78
49,75,69,60,22,58,45,45
84,76,67,80,82,61,77,83
79,79,90,81,76,76,81,80
53,64,46,60,29,50,16,38
81,68,97,74,69,58,86,77
64,65,55,79,87,77,69,95
100,55,81,91,100,62,93,100
70,76,48,64,60,67,28,63
73,81,84,93,74,68,100,88
66,56,57,85,82,69,57,89
80,85,55,93,93,81,34,84
68,72,66,92,72,57,64,80
69,62,48,93,93,65,53,87
59,93,75,90,65,73,60,87
72,78,74,84,46,74,29,75
63,56,69,66,58,35,43,65
71,59,41,74,36,47,26,70
40,66,35,62,28,53,24,55
77,76,52,75,61,77,32,63
100,98,100,95,84,90,93,86
89,82,71,74,100,65,59,91
76,77,99,82,87,86,84,75
73,75,62,82,54,72,61,73
80,65,82,86,100,67,86,92
64,70,82,72,37,68,75,61
47,63,65,72,27,60,40,60
70,82,75,75,70,90,54,87
84,76,99,74,78,70,52,55
61,79,78,91,83,86,81,87
88,89,76,97,96,67,77,94
82,89,100,80,64,91,100,83
100,95,94,95,100,95,100,89
63,57,45,74,66,61,53,81
72,62,58,82,55,51,24,67
66,70,46,80,71,65,55,82
68,79,72,83,82,86,100,100
57,73,99,87,52,63,81,76
69,56,56,71,53,52,17,60
76,67,44,69,55,61,40,49
77,73,88,97,73,66,86,89
43,75,75,57,47,73,87,75
71,77,88,67,60,70,68,64
54,66,70,57,65,79,86,74
68,77,75,65,60,75,92,81
78,91,75,96,64,82,73,72
75,59,54,76,59,43,40,66
95,81,87,85,100,80,100,72
73,59,87,83,86,74,84,77
58,59,62,73,70,65,59,75
75,69,70,72,64,69,54,58
67,79,54,73,51,70,40,64
75,78,65,88,63,70,40,84
79,81,78,95,86,84,96,84
67,77,72,76,81,73,56,97
64,73,29,78,58,74,5,92
41,60,54,73,34,72,46,69
90,71,70,72,100,79,79,82
54,59,45,56,60,76,57,55
82,68,74,60,84,70,61,75
70,64,47,65,69,73,39,61
78,70,82,92,99,82,78,97
89,89,39,64,100,86,29,65
59,58,28,67,49,48,28,55
61,66,75,79,57,75,88,76
41,54,45,73,21,48,36,54
67,58,70,82,46,51,50,65
84,77,88,82,64,64,55,69
50,69,100,72,52,58,82,67
58,69,49,68,59,67,50,84
85,75,51,77,88,76,49,91
41,81,54,73,50,84,63,67
66,72,48,86,54,57,11,74
78,85,51,84,46,69,49,79
47,80,75,80,39,71,68,63
73,55,55,77,98,70,70,89
61,66,80,71,43,63,55,62
64,80,83,99,49,71,55,92
66,69,51,78,83,63,35,63
78,79,58,77,58,77,45,76
90,71,70,81,84,77,47,73
53,84,60,77,52,72,55,71
88,91,65,92,88,85,37,80
83,74,75,67,85,85,88,71
49,70,43,66,59,70,51,69
74,78,81,76,78,85,95,71
48,75,61,71,33,64,49,84
51,71,51,70,27,63,42,57
63,84,71,95,50,63,62,90
51,70,60,81,39,62,61,83
77,78,72,67,89,70,82,74
52,59,53,58,70,65,47,58
49,54,83,62,23,43,71,50
63,60,66,80,43,54,38,64
73,81,81,79,73,73,69,55
70,75,39,79,40,70,1,69
65,83,67,85,45,73,59,78
64,64,57,80,84,65,60,90
40,70,55,68,58,64,69,84
83,69,45,76,85,78,10,63
33,67,45,55,31,68,37,52
47,47,45,53,66,45,61,67
52,55,59,63,50,59,54,58
71,80,50,72,80,79,54,75
81,82,100,87,61,76,84,87
68,65,38,75,64,64,38,66
68,77,40,81,45,64,3,55
85,91,78,70,76,79,81,71
54,60,54,72,42,59,46,51
60,82,71,82,58,83,68,81
81,80,68,86,100,84,55,95
59,63,70,79,48,46,22,73
60,71,48,89,84,74,48,89
74,73,87,72,78,57,73,68
75,65,48,69,56,69,21,60
57,71,49,69,45,84,43,51
100,72,79,98,98,71,95,91
54,69,46,72,100,76,60,96
28,85,77,78,59,79,76,65
68,58,51,88,63,57,46,79
71,67,65,69,97,74,94,86
54,70,69,72,47,60,59,53
94,79,86,80,64,72,99,81
65,49,68,86,65,54,71,98
82,82,95,87,34,65,80,76
70,62,47,59,24,50,36,43
79,87,73,93,92,93,67,87
100,80,81,82,100,88,85,91
63,73,83,75,50,70,49,64
49,67,61,55,32,51,19,43
66,72,52,86,73,75,55,99
93,82,71,76,96,78,80,74
43,78,59,84,35,80,78,79
76,75,83,91,82,76,84,100
65,60,94,100,100,87,100,100
78,65,57,79,83,63,46,61
82,80,64,81,59,65,48,79
51,71,81,68,44,64,84,50
91,71,58,92,100,69,62,81
73,72,66,86,59,70,55,87
35,66,45,65,22,53,46,76
58,58,64,47,44,61,61,45
83,87,82,78,75,80,71,69
49,58,45,67,60,68,62,77
72,96,89,85,29,58,59,69
64,72,58,81,53,72,37,88
72,53,48,78,39,41,13,73
74,78,44,74,69,69,46,71
74,76,80,85,100,91,100,96
60,75,69,80,14,66,42,54
81,69,83,79,72,68,76,60
68,73,74,79,65,73,88,83
48,87,63,76,29,79,67,77
78,69,70,100,94,78,96,100
62,77,44,74,66,70,17,67
46,68,57,67,92,90,75,67
75,72,94,70,82,76,73,74
76,84,38,74,97,80,32,83
77,88,80,89,72,82,70,81
62,56,70,77,63,54,77,75
57,62,30,66,54,76,37,57
59,73,55,63,79,75,58,75
61,75,48,63,77,70,36,59
63,66,90,75,36,65,70,71
94,89,89,83,100,72,61,73
96,56,91,89,100,52,90,78
77,88,74,86,52,66,57,77
69,67,45,77,60,63,24,83
62,79,80,83,67,75,71,86
79,77,96,75,59,85,70,82
42,45,57,55,35,59,62,65
62,69,50,78,62,72,38,75
73,79,88,71,33,59,79,53
84,59,84,78,83,62,86,75
95,60,95,90,100,67,96,100
72,75,77,85,70,61,48,66
100,79,67,89,100,70,54,88
94,91,69,88,100,82,68,81
71,76,74,77,82,70,72,64
80,82,70,90,67,80,41,77
75,59,45,75,81,68,45,90
48,83,51,69,31,70,51,60
82,73,92,86,84,70,76,83
100,64,54,77,100,74,53,93
93,74,81,74,100,81,82,85
51,67,29,77,57,70,32,84
100,66,72,77,97,59,38,61
83,88,100,92,55,71,93,78
74,83,70,81,68,64,56,79
52,72,97,76,42,67,82,71
79,76,63,74,84,80,78,78
87,87,68,77,86,76,56,63
46,77,76,75,39,72,58,67
79,79,58,83,45,58,24,69
63,79,79,74,65,81,73,70
70,71,28,78,61,77,19,92
73,67,44,75,42,59,39,51
99,59,79,70,100,72,90,83
56,84,80,84,51,77,74,96
67,66,89,61,58,67,83,53
48,64,68,68,49,71,42,54
98,79,88,82,96,79,97,84
83,100,96,74,63,85,38,74
55,63,28,73,58,63,36,78
61,61,92,89,38,69,89,75
100,95,100,92,100,100,100,94
73,78,36,77,77,86,26,99
85,72,57,80,54,69,51,76
66,80,86,79,79,79,86,87
52,64,56,54,38,57,37,64
58,72,65,77,82,75,74,88
63,59,75,72,32,56,58,61
56,63,49,66,37,56,30,56
41,71,49,67,49,81,56,76
84,84,98,87,66,70,77,80
66,70,87,59,98,74,100,82
73,71,86,84,48,69,52,67
57,79,31,72,75,88,33,72
89,76,95,69,77,65,76,69
50,61,42,74,55,69,30,73
53,62,69,89,28,56,38,89
71,75,47,81,64,73,53,81
73,67,70,79,73,75,46,83
100,83,88,93,100,70,79,88
46,75,84,59,44,65,72,42
81,76,84,78,79,70,73,71
100,78,77,77,100,72,42,55
63,67,59,74,71,66,56,78
67,66,42,76,80,58,46,55
77,83,79,92,94,87,100,100
85,84,74,83,70,83,57,90
78,56,58,68,73,66,79,68
60,64,100,71,29,54,69,49
96,63,100,83,100,70,100,68
36,54,56,68,62,77,57,78
70,62,46,75,64,61,54,69
73,78,55,91,70,74,46,94
76,62,67,77,53,62,25,61
60,63,69,78,35,76,71,80
73,75,60,64,73,69,46,49
73,69,92,85,76,72,93,91
58,69,42,80,78,64,60,80
67,72,65,73,58,67,54,48
54,77,83,72,61,57,76,70
57,83,75,86,52,77,89,75
81,75,68,81,81,68,49,89
63,60,50,72,76,76,58,65
85,99,38,95,55,71,1,84
98,86,70,91,76,84,55,94
69,64,68,67,77,69,64,64
72,78,84,88,60,82,73,76
90,71,92,89,91,76,66,83
40,79,20,49,16,67,0,43
74,100,54,80,81,94,62,89
55,76,66,73,65,73,52,69
63,71,73,77,60,75,66,73
66,74,53,70,81,84,65,78
66,86,62,77,79,100,98,82
88,80,91,75,79,78,78,77
90,89,83,98,82,81,81,94
83,83,62,77,67,79,70,87
87,86,87,95,80,76,79,88
62,66,65,79,89,70,86,80
56,78,56,65,54,80,56,70
86,62,57,84,100,89,79,100
66,76,82,89,66,63,78,94
58,81,73,79,76,75,81,68
96,80,65,82,65,64,59,70
66,70,77,78,77,68,100,83
98,69,85,90,82,68,75,77
69,86,65,93,50,75,68,87
94,98,67,84,94,100,82,79
100,86,91,81,88,77,85,80
80,88,84,100,72,80,76,100
73,76,56,80,42,65,57,57
92,59,74,85,72,58,77,65
69,68,59,68,33,50,45,54
48,69,70,74,77,75,69,84
85,87,55,90,65,74,10,63
