school,student,test,motive,M,m,N.m,n.m,w
120,8077,1.769479506,1.915320564,500,100,192,41,23.41463415
120,8078,1.86304797,0.424821877,500,100,192,41,23.41463415
120,8079,1.080987882,-0.485341616,500,100,192,41,23.41463415
120,8080,1.808976292,0.151494968,500,100,192,41,23.41463415
120,8081,1.822961542,1.660273978,500,100,192,41,23.41463415
120,8082,0.946253467,-1.032898191,500,100,192,41,23.41463415
120,8083,1.615923965,1.066355863,500,100,192,41,23.41463415
120,8084,1.453483819,-0.624269139,500,100,192,41,23.41463415
120,8085,1.930250268,1.908554599,500,100,192,41,23.41463415
120,8086,1.052748963,-1.297455177,500,100,192,41,23.41463415
120,8087,1.062755749,-0.399755626,500,100,192,41,23.41463415
120,8088,1.657871676,0.172907179,500,100,192,41,23.41463415
120,8089,1.455826447,-0.596693741,500,100,192,41,23.41463415
120,8090,1.506108332,-0.32956685,500,100,192,41,23.41463415
120,8091,1.807325893,1.722911265,500,100,192,41,23.41463415
120,8092,2.462939589,2.170589802,500,100,192,41,23.41463415
120,8093,1.903490783,0.063674568,500,100,192,41,23.41463415
120,8094,1.231289789,-0.920561718,500,100,192,41,23.41463415
120,8095,1.720996333,0.429655321,500,100,192,41,23.41463415
120,8096,2.122627092,1.112739385,500,100,192,41,23.41463415
120,8097,1.187065428,-0.081546708,500,100,192,41,23.41463415
120,8098,1.130566359,-0.382251348,500,100,192,41,23.41463415
120,8099,1.152334501,-1.049477234,500,100,192,41,23.41463415
120,8100,1.763851775,0.12256824,500,100,192,41,23.41463415
120,8101,1.797372808,0.90845811,500,100,192,41,23.41463415
120,8102,1.80181386,0.213592552,500,100,192,41,23.41463415
120,8103,2.175499009,1.559191501,500,100,192,41,23.41463415
120,8104,1.270162431,-1.782953815,500,100,192,41,23.41463415
120,8105,1.365771104,-0.806013205,500,100,192,41,23.41463415
120,8106,1.262605789,0.156528256,500,100,192,41,23.41463415
120,8107,1.65602144,0.392723264,500,100,192,41,23.41463415
120,8108,1.472521822,0.936353289,500,100,192,41,23.41463415
120,8109,1.759212928,0.343683788,500,100,192,41,23.41463415
120,8110,1.054849531,-1.191430243,500,100,192,41,23.41463415
120,8111,1.580871921,0.639605786,500,100,192,41,23.41463415
120,8112,1.766205381,-0.807878174,500,100,192,41,23.41463415
120,8113,2.080334683,0.833533696,500,100,192,41,23.41463415
120,8114,0.82330887,-2.107830226,500,100,192,41,23.41463415
120,8115,1.143587342,-1.76414188,500,100,192,41,23.41463415
120,8116,1.496082077,-0.055077778,500,100,192,41,23.41463415
120,8117,1.98084429,0.894872089,500,100,192,41,23.41463415
189,12321,0.347127677,-0.322649159,500,100,192,81,11.85185185
189,12322,0.243806997,-0.96488884,500,100,192,81,11.85185185
189,12323,0.900652171,0.943669352,500,100,192,81,11.85185185
189,12324,0.531565814,-0.102334635,500,100,192,81,11.85185185
189,12325,0.439919118,-0.145288932,500,100,192,81,11.85185185
189,12326,0.654586502,0.89629389,500,100,192,81,11.85185185
189,12327,0.384021151,-1.093710768,500,100,192,81,11.85185185
189,12328,0.577191218,-0.206079337,500,100,192,81,11.85185185
189,12329,1.017600212,1.719254418,500,100,192,81,11.85185185
189,12330,0.443373561,-0.917473278,500,100,192,81,11.85185185
189,12331,0.740739348,-0.044141447,500,100,192,81,11.85185185
189,12332,0.889494334,0.808551241,500,100,192,81,11.85185185
189,12333,0.710611001,1.033236546,500,100,192,81,11.85185185
189,12334,0.835835954,0.334504051,500,100,192,81,11.85185185
189,12335,1.10152763,2.15488017,500,100,192,81,11.85185185
189,12336,0.1528375,-1.923882688,500,100,192,81,11.85185185
189,12337,0.594640171,0.170675453,500,100,192,81,11.85185185
189,12338,0.529402438,-0.28312665,500,100,192,81,11.85185185
189,12339,0.366718113,-0.702578405,500,100,192,81,11.85185185
189,12340,1.015737114,0.2671345,500,100,192,81,11.85185185
